No.,Conference,Division,Location_Name,Team_Name
1,Eastern,Atlantic,Boston,Boston Celtics
2,Eastern,Atlantic,Brooklyn,Brooklyn Nets
3,Eastern,Atlantic,New York,New York Knicks
4,Eastern,Atlantic,Philadelphia,Philadelphia 76ers
5,Eastern,Atlantic,Toronto,Toronto Raptors
6,Eastern,Central,Chicago,Chicago Bulls
7,Eastern,Central,Cleveland,Cleveland Cavaliers
8,Eastern,Central,Detroit,Detroit Pistons
9,Eastern,Central,Indiana,Indiana Pacers
10,Eastern,Central,Milwaukee,Milwaukee Bucks
11,Eastern,Southeast,Atlanta,Atlanta Hawks
12,Eastern,Southeast,Charlotte,Charlotte Hornets
13,Eastern,Southeast,Miami,Miami Heat
14,Eastern,Southeast,Orlando,Orlando Magic
15,Eastern,Southeast,Washington,Washington Wizards
16,Western,Northwest,Denver,Denver Nuggets
17,Western,Northwest,Minnesota,Minnesota Timberwolves
18,Western,Northwest,Oklahoma City,Oklahoma City Thunder
19,Western,Northwest,Portland,Portland Trail Blazers
20,Western,Northwest,Utah,Utah Jazz
21,Western,Pacific,Golden State,Golden State Warriors
22,Western,Pacific,LA Clippers,Los Angeles Clippers
23,Western,Pacific,LA Lakers,Los Angeles Lakers
24,Western,Pacific,Phoenix,Phoenix Suns
25,Western,Pacific,Sacramento,Sacramento Kings
26,Western,Southwest,Dallas,Dallas Mavericks
27,Western,Southwest,Houston,Houston Rockets
28,Western,Southwest,Memphis,Memphis Grizzlies
29,Western,Southwest,New Orleans,New Orleans Pelicans
30,Western,Southwest,San Antonio,San Antonio Spurs
