Range,Player Name
1,Nikola Jokic
2,Joel Embiid
3,Shai Gilgeous-Alexander
4,Luka Doncic
5,Jayson Tatum
6,Stephen Curry
7,Giannis Antetokounmpo
8,Tyrese Haliburton
9,Kevin Durant
10,Anthony Davis
11,Damian Lillard
12,Donovan Mitchell
13,Darius Garland
14,Domantas Sabonis
15,Jaren Jackson
16,LaMelo Ball
17,Trae Young
18,Mikal Bridges
19,Jimmy Butler
20,Devin Booker
21,Anthony Edwards
22,James Harden
23,LeBron James
24,Lauri Markkanen
25,Karl-Anthony Towns
26,Rudy Gobert
27,Victor Wembanyama
28,Paul George
29,Kyrie Irving
30,Bam Adebayo
31,Cade Cunningham
32,Fred VanVleet
33,Desmond Bane
34,Ja Morant
35,De'Aaron Fox
36,Pascal Siakam
37,Kawhi Leonard
38,Myles Turner
39,OG Anunoby
40,DeMar DeRozan
41,Dejounte Murray
42,Jaylen Brown
43,Jrue Holiday
44,Khris Middleton
45,Kristaps Porzingis
46,Zion Williamson
47,Jalen Brunson
48,Zach LaVine
49,Brandon Ingram
50,Walker Kessler
51,Evan Mobley
52,Jamal Murray
53,Nikola Vucevic
54,Julius Randle
55,Bradley Beal
56,Alperen Sengun
57,Anfernee Simons
58,Jarrett Allen
59,Scottie Barnes
60,Jalen Williams
61,Paolo Banchero
62,Jordan Poole
63,Tyler Herro
64,Tyrese Maxey
65,Jerami Grant
66,Brook Lopez
67,Josh Giddey
68,Chet Holmgren
69,Deandre Ayton
70,Jakob Poeltl
71,Franz Wagner
72,CJ McCollum
73,Devin Vassell
74,Cameron Johnson
75,Clint Capela
76,Wendell Carter
77,Miles Bridges
78,Tyus Jones
79,Derrick White
80,Daniel Gafford
81,Scoot Henderson
82,Mark Williams
83,Mason Plumlee
84,Robert Williams
85,Chris Paul
86,Jonas Valanciunas
87,Michael Porter
88,Jalen Green
89,Klay Thompson
90,Marcus Smart
91,Kyle Kuzma
92,John Collins
93,Tobias Harris
94,Draymond Green
95,Andrew Wiggins
96,Terry Rozier
97,Brandon Miller
98,Trey Murphy
99,D'Angelo Russell
100,Markelle Fultz
101,Spencer Dinwiddie
102,Mitchell Robinson
103,Isaiah Hartenstein
104,Steven Adams
105,Jabari Smith
106,Gary Trent
107,Buddy Hield
108,Bennedict Mathurin
109,Jusuf Nurkic
110,Austin Reaves
111,Collin Sexton
112,Malcolm Brogdon
113,Ivica Zubac
114,Onyeka Okongwu
115,Kevin Huerter
116,Jalen Duren
117,Shaedon Sharpe
118,Bojan Bogdanovic
119,Keegan Murray
120,Kentavious Caldwell-Pope
121,Keldon Johnson
122,Josh Hart
123,Russell Westbrook
124,Mike Conley
125,Tre Jones
126,Aaron Gordon
127,Jaden Ivey
128,Kyle Anderson
129,Immanuel Quickley
130,Jaden McDaniels
131,Harrison Barnes
132,Kevin Porter
133,Amen Thompson
134,Talen Horton-Tucker
135,Deni Avdija
136,Delon Wright
137,Herbert Jones
138,Jeremy Sochan
139,Tari Eason
140,De'Anthony Melton
141,Norman Powell
142,Jarace Walker
143,RJ Barrett
144,Kelly Olynyk
145,Taylor Hendricks
146,Bruce Brown
147,Cam Whitmore
148,Monte Morris
149,Christian Wood
150,Kelly Oubre
151,P.J. Washington
